scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes
100,normal,100,8,8,0,16,0,0,0,9.9466,10,60,0.1152,0.1091,0.1677,0.0746,0.1987,8679.30,18717.00,-4462.52,true,11932672,11932672,false,30855168
100,high_load,100,8,16,1,24,1,1,0,3.6411,10,60,0.3069,0.2649,0.5208,0.2238,1.2311,3258.85,18717.00,-4462.52,true,11932672,11932672,false,31444992
500,normal,500,25,25,0,50,0,0,0,4.2861,10,60,0.3239,0.2634,0.6261,0.2278,0.8668,3087.50,39374.00,-75851.29,true,60078306,60078306,false,32059392
500,high_load,500,25,41,2,66,2,2,0,6.9724,10,60,0.5316,0.4973,0.6901,0.4220,0.8736,1881.13,39374.00,-75851.29,true,60078306,60078306,false,32190464
1000,normal,1000,50,50,0,100,0,0,0,4.3288,10,60,0.5595,0.4237,1.0450,0.3121,2.0379,1787.33,74568.00,-154408.93,true,119261946,119261946,false,33001472
1000,high_load,1000,50,90,5,140,5,5,0,11.2924,10,60,1.1771,1.0818,1.7095,0.9513,2.4125,849.56,74568.00,-154408.93,true,119261946,119261946,false,33136640
2000,normal,2000,100,100,0,200,0,0,0,11.3667,10,60,0.8511,0.7366,1.5897,0.6309,2.3738,1174.92,164044.00,-294250.02,true,238573893,238573893,false,35094528
2000,high_load,2000,100,180,10,280,10,10,0,12.7490,10,60,2.7162,2.5762,4.5112,2.1271,5.0816,368.16,164044.00,-294250.02,true,238573893,238573893,false,35393536
