scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,9.0905,10,60,0.0778,0.0699,0.1192,0.0597,0.1541,12860.91,12563.00,-10556.82,true,11932672,11932672,false,30441472,30441472
100,high_load,100,8,16,1,24,1,1,0,64,4.2703,10,60,0.1527,0.1043,0.3770,0.0915,0.5685,6549.07,12563.00,-10556.82,true,11932672,11932672,false,31031296,31031296
500,normal,500,25,25,0,50,0,0,0,64,4.2469,10,60,0.1034,0.0879,0.1488,0.0759,0.3547,9670.71,30982.00,-84132.77,true,60078306,60078306,false,31444992,31444992
500,high_load,500,25,41,2,66,2,2,0,64,4.5789,10,60,0.2284,0.2023,0.3698,0.1794,0.4401,4378.57,30982.00,-84132.77,true,60078306,60078306,false,31678464,31678464
1000,normal,1000,50,50,0,100,0,0,0,64,5.0258,10,60,0.1387,0.1159,0.2309,0.1012,0.5163,7208.68,82207.00,-147054.93,true,119261946,119261946,false,32530432,32530432
1000,high_load,1000,50,90,5,140,5,5,0,64,4.6977,10,60,0.4892,0.4637,0.6933,0.4258,0.9180,2044.22,82207.00,-147054.93,true,119261946,119261946,false,32632832,32632832
2000,normal,2000,100,100,0,200,0,0,0,64,6.2264,10,60,0.2438,0.1889,0.4850,0.1667,0.9707,4101.86,157118.00,-300857.97,true,238573893,238573893,false,34439168,35475456
2000,high_load,2000,100,180,10,280,10,10,0,64,5.9478,10,60,1.0575,0.9960,1.2540,0.9220,1.9421,945.64,157118.00,-300857.97,true,238573893,238573893,false,35536896,35540992
