A1,A,0.2369,,1.0580,
A2,A,0.2233,,1.0669,
A3,A,0.2402,,1.0701,
A4,A,0.2386,,1.1043,
A5,A,0.2333,,1.1536,
B2,B,0.2279,,1.0633,
B3,B,0.2797,,1.0837,
B4,B,0.2506,,1.1144,
B5,B,0.2468,,1.1237,
B6,B,0.3043,,1.1973,
A7,A,0.2380,0.1896,1.0463,0.9721
B7,B,0.2358,0.1816,1.0690,1.0178
A8,A,0.2353,0.1938,1.1060,1.0394
B8,B,0.2263,0.1810,1.0608,1.0169
A9,A,0.2240,0.1774,1.0588,1.0025
B9,B,0.2230,0.1813,1.0685,1.0192
A10,A,0.2354,0.1842,1.0740,1.0213
B10,B,0.2268,0.1847,1.0728,1.0288
A11,A,0.2404,0.1826,1.0609,0.9963
B11,B,0.2359,0.1840,1.0835,1.0364
A12,A,0.2396,0.1872,1.0606,0.9912
B12,B,0.2208,0.1734,1.0901,1.0252
A13,A,0.2318,0.1878,1.0638,1.0133
B13,B,0.2298,0.1817,1.0551,1.0067
A14,A,0.2315,0.1884,1.0507,0.9938
B14,B,0.2305,0.1872,1.0629,1.0158
A15,A,0.2270,0.1797,1.0461,0.9879
B15,B,0.2267,0.1728,1.0497,0.9942
A16,A,0.2284,0.1802,1.0560,1.0009
B16,B,0.2403,0.1895,1.0568,1.0130
