scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,9.5533,10,60,0.0934,0.0768,0.1384,0.0608,0.5013,10706.64,18717.00,-4462.52,true,11932672,11932672,false,29949952,29949952
100,high_load,100,8,16,1,24,1,1,0,64,6.1974,10,60,0.2687,0.2540,0.3475,0.2114,0.6546,3721.55,18717.00,-4462.52,true,11932672,11932672,false,30593024,30593024
500,normal,500,25,25,0,50,0,0,0,64,5.4265,10,60,0.2575,0.2399,0.3817,0.1822,0.5852,3882.89,39374.00,-75851.29,true,60078306,60078306,false,31023104,31023104
500,high_load,500,25,41,2,66,2,2,0,64,3.8059,10,60,0.4834,0.4353,0.6535,0.3777,1.0097,2068.65,39374.00,-75851.29,true,60078306,60078306,false,31084544,31084544
1000,normal,1000,50,50,0,100,0,0,0,64,7.0928,10,60,0.3928,0.3594,0.6023,0.2702,1.1412,2545.87,74568.00,-154408.93,true,119261946,119261946,false,31936512,31936512
1000,high_load,1000,50,90,5,140,5,5,0,64,9.9618,10,60,1.0145,0.9700,1.2427,0.8796,2.2822,985.71,74568.00,-154408.93,true,119261946,119261946,false,32055296,32055296
2000,normal,2000,100,100,0,200,0,0,0,64,12.2603,10,60,0.6124,0.5087,1.1886,0.4116,2.3037,1632.98,164044.00,-294250.02,true,238573893,238573893,false,33951744,35028992
2000,high_load,2000,100,180,10,280,10,10,0,64,10.2068,10,60,2.3864,2.2897,2.7982,2.0555,4.0888,419.04,164044.00,-294250.02,true,238573893,238573893,false,34095104,35028992
