scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,9.4232,10,60,0.0941,0.0810,0.1875,0.0630,0.2188,10632.45,18717.00,-4462.52,true,11932672,11932672,false,29769728,29769728
100,high_load,100,8,16,1,24,1,1,0,64,7.9041,10,60,0.2945,0.2929,0.3723,0.2094,0.4034,3395.76,18717.00,-4462.52,true,11932672,11932672,false,30425088,30425088
500,normal,500,25,25,0,50,0,0,0,64,6.2664,10,60,0.2654,0.2476,0.3862,0.1829,0.5656,3767.50,39374.00,-75851.29,true,60078306,60078306,false,30830592,30830592
500,high_load,500,25,41,2,66,2,2,0,64,10.7450,10,60,0.5240,0.4615,0.9097,0.3807,1.1443,1908.45,39374.00,-75851.29,true,60078306,60078306,false,30863360,30863360
1000,normal,1000,50,50,0,100,0,0,0,64,8.3855,10,60,0.3358,0.2739,0.5292,0.2198,1.3986,2978.35,74568.00,-154408.93,true,119261946,119261946,false,31633408,31633408
1000,high_load,1000,50,90,5,140,5,5,0,64,6.0822,10,60,0.9267,0.8754,1.2133,0.8065,1.7179,1079.10,74568.00,-154408.93,true,119261946,119261946,false,31711232,31711232
2000,normal,2000,100,100,0,200,0,0,0,64,16.6798,10,60,0.5826,0.4733,1.0955,0.3802,2.3309,1716.54,164044.00,-294250.02,true,238573893,238573893,false,33591296,34721792
2000,high_load,2000,100,180,10,280,10,10,0,64,8.7275,10,60,2.4876,2.3552,3.6959,2.0078,4.5506,402.00,164044.00,-294250.02,true,238573893,238573893,false,33783808,34721792
