scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,11.4266,10,60,0.0814,0.0753,0.1066,0.0649,0.2378,12289.29,12563.00,-10556.82,true,11932672,11932672,false,30113792,30113792
100,high_load,100,8,16,1,24,1,1,0,64,21.9507,10,60,0.2780,0.2460,0.4105,0.2033,0.5969,3596.91,12563.00,-10556.82,true,11932672,11932672,false,30756864,30756864
500,normal,500,25,25,0,50,0,0,0,64,13.6929,10,60,0.2854,0.2406,0.5293,0.1747,1.0035,3503.71,30982.00,-84132.77,true,60078306,60078306,false,31195136,31195136
500,high_load,500,25,41,2,66,2,2,0,64,16.4116,10,60,0.5114,0.4592,0.8139,0.3871,0.9256,1955.43,30982.00,-84132.77,true,60078306,60078306,false,31309824,31309824
1000,normal,1000,50,50,0,100,0,0,0,64,15.2831,10,60,0.3435,0.2772,0.5581,0.2388,1.3169,2911.22,82207.00,-147054.93,true,119261946,119261946,false,32174080,32174080
1000,high_load,1000,50,90,5,140,5,5,0,64,8.3261,10,60,1.1322,1.1040,1.5905,0.8743,2.1021,883.23,82207.00,-147054.93,true,119261946,119261946,false,32239616,32239616
2000,normal,2000,100,100,0,200,0,0,0,64,14.5563,10,60,0.5958,0.4753,1.1095,0.3772,2.4439,1678.48,157118.00,-300857.97,true,238573893,238573893,false,34119680,35205120
2000,high_load,2000,100,180,10,280,10,10,0,64,14.5090,10,60,2.5556,2.4400,3.4633,2.1091,4.3690,391.30,157118.00,-300857.97,true,238573893,238573893,false,34349056,35237888
