scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,9.4391,10,60,0.0841,0.0722,0.1461,0.0606,0.3639,11894.38,12563.00,-10556.82,true,11932672,11932672,false,30212096,30212096
100,high_load,100,8,16,1,24,1,1,0,64,4.1463,10,60,0.1596,0.1468,0.2094,0.1117,0.2593,6266.78,12563.00,-10556.82,true,11932672,11932672,false,30994432,30994432
500,normal,500,25,25,0,50,0,0,0,64,4.2287,10,60,0.1024,0.0902,0.1527,0.0770,0.2749,9768.17,30982.00,-84132.77,true,60078306,60078306,false,31420416,31420416
500,high_load,500,25,41,2,66,2,2,0,64,6.1930,10,60,0.4256,0.5158,0.6021,0.1908,0.8557,2349.42,30982.00,-84132.77,true,60078306,60078306,false,31580160,31580160
1000,normal,1000,50,50,0,100,0,0,0,64,5.1861,10,60,0.1461,0.1235,0.2687,0.1025,0.5278,6845.88,82207.00,-147054.93,true,119261946,119261946,false,32296960,32296960
1000,high_load,1000,50,90,5,140,5,5,0,64,5.2735,10,60,0.5247,0.4815,0.8298,0.4329,0.9930,1905.86,82207.00,-147054.93,true,119261946,119261946,false,32477184,32477184
2000,normal,2000,100,100,0,200,0,0,0,64,8.0881,10,60,0.2458,0.1917,0.5326,0.1733,1.0911,4068.76,157118.00,-300857.97,true,238573893,238573893,false,34250752,35364864
2000,high_load,2000,100,180,10,280,10,10,0,64,6.3771,10,60,1.0973,1.0453,1.3591,0.9607,1.7991,911.36,157118.00,-300857.97,true,238573893,238573893,false,34426880,35364864
