scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00437,0.00270,0.00660,0.06680,3.08
100,normal,Economy,0.00624,0.00310,0.00730,0.14080,4.40
100,normal,Research,0.00359,0.00300,0.00620,0.01970,2.53
100,normal,Diplomacy,0.00378,0.00180,0.00430,0.10890,2.67
100,normal,CountryAi,0.01661,0.01420,0.03360,0.05870,11.71
100,normal,WarPreparation,0.00202,0.00110,0.00710,0.01760,1.42
100,normal,MilitaryAi,0.00320,0.00220,0.00780,0.01550,2.25
100,normal,FrontlineOrders,0.00385,0.00340,0.00670,0.02110,2.72
100,normal,MilitaryAction,0.00530,0.00400,0.02170,0.02570,3.73
100,normal,WarResolution,0.00313,0.00280,0.00520,0.00930,2.21
100,normal,UiUpdate,0.00213,0.00200,0.00390,0.00490,1.50
100,high_load,TimeUpdate,0.00321,0.00290,0.00480,0.01370,1.17
100,high_load,Economy,0.00578,0.00240,0.01390,0.08890,2.10
100,high_load,Research,0.00420,0.00440,0.00650,0.01070,1.52
100,high_load,Diplomacy,0.00272,0.00240,0.00510,0.01280,0.99
100,high_load,CountryAi,0.02319,0.02280,0.02880,0.04190,8.43
100,high_load,WarPreparation,0.01233,0.01150,0.01580,0.03340,4.48
100,high_load,MilitaryAi,0.01216,0.01220,0.01480,0.01590,4.42
100,high_load,FrontlineOrders,0.02262,0.01970,0.04280,0.13600,8.22
100,high_load,MilitaryAction,0.00458,0.00420,0.00540,0.02350,1.66
100,high_load,WarResolution,0.01500,0.01390,0.02460,0.04470,5.45
100,high_load,UiUpdate,0.00245,0.00140,0.00850,0.01670,0.89
500,normal,TimeUpdate,0.00322,0.00290,0.00440,0.01830,1.09
500,normal,Economy,0.01406,0.00270,0.01060,0.33430,4.77
500,normal,Research,0.00513,0.00530,0.01150,0.01390,1.74
500,normal,Diplomacy,0.00713,0.00560,0.01310,0.01620,2.42
500,normal,CountryAi,0.06846,0.06560,0.08660,0.10830,23.25
500,normal,WarPreparation,0.00196,0.00180,0.00280,0.00330,0.66
500,normal,MilitaryAi,0.00456,0.00360,0.00800,0.01680,1.55
500,normal,FrontlineOrders,0.00630,0.00430,0.02000,0.02340,2.14
500,normal,MilitaryAction,0.01320,0.01120,0.02710,0.04490,4.48
500,normal,WarResolution,0.00541,0.00320,0.01560,0.03330,1.84
500,normal,UiUpdate,0.00288,0.00180,0.01110,0.01920,0.98
500,high_load,TimeUpdate,0.00543,0.00340,0.00470,0.12680,1.02
500,high_load,Economy,0.01557,0.00350,0.01280,0.36600,2.92
500,high_load,Research,0.00452,0.00370,0.00750,0.01340,0.85
500,high_load,Diplomacy,0.00940,0.01090,0.01440,0.01760,1.76
500,high_load,CountryAi,0.07343,0.06830,0.10950,0.14950,13.77
500,high_load,WarPreparation,0.03703,0.03330,0.05550,0.07040,6.94
500,high_load,MilitaryAi,0.01961,0.01910,0.02340,0.04040,3.68
500,high_load,FrontlineOrders,0.12299,0.11540,0.16140,0.19010,23.06
500,high_load,MilitaryAction,0.00972,0.00800,0.01240,0.06550,1.82
500,high_load,WarResolution,0.04144,0.03460,0.06940,0.10670,7.77
500,high_load,UiUpdate,0.00160,0.00140,0.00220,0.00940,0.30
1000,normal,TimeUpdate,0.01413,0.00320,0.01110,0.35710,3.20
1000,normal,Economy,0.03200,0.00350,0.01440,0.91070,7.26
1000,normal,Research,0.00629,0.00470,0.01600,0.02190,1.43
1000,normal,Diplomacy,0.01891,0.01810,0.02630,0.02760,4.29
1000,normal,CountryAi,0.14544,0.14230,0.16840,0.22530,32.99
1000,normal,WarPreparation,0.00250,0.00190,0.00290,0.02750,0.57
1000,normal,MilitaryAi,0.00608,0.00530,0.00980,0.02630,1.38
1000,normal,FrontlineOrders,0.00704,0.00520,0.01610,0.02150,1.60
1000,normal,MilitaryAction,0.01688,0.01580,0.02780,0.03530,3.83
1000,normal,WarResolution,0.00358,0.00290,0.00990,0.01820,0.81
1000,normal,UiUpdate,0.00253,0.00160,0.00730,0.01130,0.57
1000,high_load,TimeUpdate,0.00670,0.00320,0.00470,0.21380,0.61
1000,high_load,Economy,0.03086,0.00450,0.01230,0.82540,2.82
1000,high_load,Research,0.00432,0.00340,0.00670,0.01830,0.39
1000,high_load,Diplomacy,0.02033,0.01950,0.02860,0.03030,1.86
1000,high_load,CountryAi,0.14514,0.13930,0.18640,0.25060,13.25
1000,high_load,WarPreparation,0.07728,0.07230,0.11880,0.18020,7.06
1000,high_load,MilitaryAi,0.05530,0.05250,0.06880,0.08140,5.05
1000,high_load,FrontlineOrders,0.43831,0.40970,0.57030,0.66920,40.02
1000,high_load,MilitaryAction,0.01764,0.01340,0.03720,0.06380,1.61
1000,high_load,WarResolution,0.09837,0.09050,0.13310,0.20030,8.98
1000,high_load,UiUpdate,0.00268,0.00130,0.00330,0.04690,0.25
2000,normal,TimeUpdate,0.01139,0.00330,0.00640,0.44340,1.48
2000,normal,Economy,0.05246,0.00510,0.01060,1.45060,6.80
2000,normal,Research,0.00447,0.00320,0.00820,0.03220,0.58
2000,normal,Diplomacy,0.06102,0.05610,0.08520,0.09390,7.91
2000,normal,CountryAi,0.39746,0.37180,0.52200,0.64620,51.55
2000,normal,WarPreparation,0.00386,0.00230,0.00530,0.04150,0.50
2000,normal,MilitaryAi,0.00840,0.00790,0.01100,0.02110,1.09
2000,normal,FrontlineOrders,0.00368,0.00270,0.00860,0.01230,0.48
2000,normal,MilitaryAction,0.02174,0.02120,0.03210,0.04130,2.82
2000,normal,WarResolution,0.00324,0.00270,0.00400,0.02200,0.42
2000,normal,UiUpdate,0.00175,0.00140,0.00350,0.01430,0.23
2000,high_load,TimeUpdate,0.01157,0.00320,0.00830,0.46430,0.45
2000,high_load,Economy,0.05296,0.00650,0.01600,1.42440,2.08
2000,high_load,Research,0.00579,0.00520,0.01160,0.03270,0.23
2000,high_load,Diplomacy,0.09349,0.08310,0.19330,0.26890,3.67
2000,high_load,CountryAi,0.40302,0.36900,0.52210,1.26720,15.82
2000,high_load,WarPreparation,0.20834,0.18840,0.34040,0.45310,8.18
2000,high_load,MilitaryAi,0.19135,0.17670,0.27030,0.33540,7.51
2000,high_load,FrontlineOrders,1.01510,0.97440,1.32590,1.83520,39.85
2000,high_load,MilitaryAction,0.04390,0.03960,0.06670,0.10160,1.72
2000,high_load,WarResolution,0.29359,0.26980,0.41470,0.67250,11.52
2000,high_load,UiUpdate,0.00953,0.00230,0.03890,0.05830,0.37
