scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes
100,normal,100,8,8,0,16,0,0,0,9.7134,10,60,0.0733,0.0694,0.1021,0.0594,0.1293,13646.91,18717.00,-4462.52,true,11932672,11932672,false,29671424
100,high_load,100,8,16,1,24,1,1,0,7.6901,10,60,0.2773,0.2531,0.4144,0.2056,0.5560,3606.46,18717.00,-4462.52,true,11932672,11932672,false,30449664
500,normal,500,25,25,0,50,0,0,0,4.6110,10,60,0.2778,0.2598,0.3974,0.1992,0.6085,3599.76,39374.00,-75851.29,true,60078306,60078306,false,30932992
500,high_load,500,25,41,2,66,2,2,0,5.0854,10,60,0.5258,0.4735,0.8011,0.4150,0.8890,1901.83,39374.00,-75851.29,true,60078306,60078306,false,31059968
1000,normal,1000,50,50,0,100,0,0,0,6.4276,10,60,0.4047,0.3644,0.6452,0.3150,1.0324,2470.76,74568.00,-154408.93,true,119261946,119261946,false,31830016
1000,high_load,1000,50,90,5,140,5,5,0,10.0891,10,60,1.0301,0.9835,1.3925,0.8573,1.6699,970.82,74568.00,-154408.93,true,119261946,119261946,false,31903744
2000,normal,2000,100,100,0,200,0,0,0,13.4632,10,60,0.7484,0.6600,1.3069,0.5993,2.1949,1336.11,164044.00,-294250.02,true,238573893,238573893,false,33722368
2000,high_load,2000,100,180,10,280,10,10,0,5.3658,10,60,2.6687,2.5496,3.4525,2.2691,4.3669,374.71,164044.00,-294250.02,true,238573893,238573893,false,33898496
