scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,69.8620,10,60,0.0900,0.0697,0.1980,0.0575,0.3135,11115.64,18717.00,-4462.52,true,11932672,11932672,false,30216192,30216192
100,high_load,100,8,16,1,24,1,1,0,64,3.6079,10,60,0.1127,0.0997,0.1678,0.0897,0.3452,8876.92,18717.00,-4462.52,true,11932672,11932672,false,30679040,30679040
500,normal,500,25,25,0,50,0,0,0,64,3.6515,10,60,0.1305,0.0922,0.3153,0.0771,0.5250,7664.11,39374.00,-75851.29,true,60078306,60078306,false,31191040,31191040
500,high_load,500,25,41,2,66,2,2,0,64,3.8645,10,60,0.2400,0.2110,0.3960,0.1846,0.5052,4167.16,39374.00,-75851.29,true,60078306,60078306,false,31309824,31309824
1000,normal,1000,50,50,0,100,0,0,0,64,6.9341,10,60,0.3397,0.3617,0.6135,0.1229,1.1333,2943.90,74568.00,-154408.93,true,119261946,119261946,false,32055296,32055296
1000,high_load,1000,50,90,5,140,5,5,0,64,6.5149,10,60,0.7802,0.7073,1.0865,0.5047,1.2861,1281.80,74568.00,-154408.93,true,119261946,119261946,false,32243712,32243712
2000,normal,2000,100,100,0,200,0,0,0,64,6.8802,10,60,0.3710,0.3294,0.7075,0.1950,1.1187,2695.30,164044.00,-294250.02,true,238573893,238573893,false,34058240,35078144
2000,high_load,2000,100,180,10,280,10,10,0,64,5.6124,10,60,1.1742,1.1334,1.4549,1.0135,1.9082,851.66,164044.00,-294250.02,true,238573893,238573893,false,34308096,35176448
