scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes
100,normal,100,8,8,0,16,0,0,0,13.0681,10,60,0.0813,0.0735,0.1332,0.0632,0.2240,12299.87,18717.00,-4462.52,true,11932672,11932672,false,30896128
100,high_load,100,8,16,1,24,1,1,0,5.9033,10,60,0.3471,0.3409,0.4012,0.3096,0.4728,2880.83,18717.00,-4462.52,true,11932672,11932672,false,31612928
500,normal,500,25,25,0,50,0,0,0,3.8233,10,60,0.3670,0.3084,0.6023,0.2636,0.7424,2724.65,39374.00,-75851.29,true,60078306,60078306,false,32120832
500,high_load,500,25,41,2,66,2,2,0,7.3826,10,60,0.6823,0.6750,0.8997,0.5043,1.0534,1465.60,39374.00,-75851.29,true,60078306,60078306,false,32198656
1000,normal,1000,50,50,0,100,0,0,0,11.1871,10,60,1.0032,0.9693,1.2013,0.8706,1.6615,996.79,74568.00,-154408.93,true,119261946,119261946,false,33116160
1000,high_load,1000,50,90,5,140,5,5,0,11.3433,10,60,1.7551,1.7095,2.1870,1.4762,2.4597,569.77,74568.00,-154408.93,true,119261946,119261946,false,32964608
2000,normal,2000,100,100,0,200,0,0,0,12.3592,10,60,5.2308,5.0568,6.7696,4.6177,8.1693,191.17,164044.00,-294250.02,true,238573893,238573893,false,35008512
2000,high_load,2000,100,180,10,280,10,10,0,10.6234,10,60,7.2274,7.1454,8.2603,6.5390,8.9123,138.36,164044.00,-294250.02,true,238573893,238573893,false,35123200
