scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes
100,normal,100,8,8,0,16,0,0,0,8.7999,10,60,0.0809,0.0785,0.1026,0.0672,0.1412,12356.36,18717.00,-4462.52,true,11932672,11932672,false,29945856
100,high_load,100,8,16,1,24,1,1,0,20.5883,10,60,0.8763,0.3095,2.4105,0.2393,15.7367,1141.16,18717.00,-4462.52,true,11932672,11932672,false,30470144
500,normal,500,25,25,0,50,0,0,0,8.1272,10,60,0.4737,0.2912,1.0062,0.2649,4.3048,2110.86,39374.00,-75851.29,true,60078306,60078306,false,31039488
500,high_load,500,25,41,2,66,2,2,0,8.2036,10,60,0.5218,0.4973,0.7005,0.4019,0.8462,1916.50,39374.00,-75851.29,true,60078306,60078306,false,31105024
1000,normal,1000,50,50,0,100,0,0,0,17.3272,10,60,0.4306,0.3836,0.6302,0.3182,1.1877,2322.20,74568.00,-154408.93,true,119261946,119261946,false,32018432
1000,high_load,1000,50,90,5,140,5,5,0,7.4611,10,60,1.0636,1.0193,1.2759,0.9351,1.7085,940.20,74568.00,-154408.93,true,119261946,119261946,false,31989760
2000,normal,2000,100,100,0,200,0,0,0,14.3042,10,60,0.7855,0.6787,1.3095,0.6096,2.6879,1273.08,164044.00,-294250.02,true,238573893,238573893,false,33845248
2000,high_load,2000,100,180,10,280,10,10,0,9.4955,10,60,2.6717,2.5420,3.2698,2.2173,4.3900,374.30,164044.00,-294250.02,true,238573893,238573893,false,35053568
