scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes
100,normal,100,8,8,0,16,0,0,0,9.1756,10,60,0.1385,0.1237,0.2474,0.0645,0.3263,7222.04,18717.00,-4462.52,true,11932672,11932672,false,29925376
100,high_load,100,8,16,1,24,1,1,0,6.4458,10,60,0.3379,0.3337,0.4178,0.2520,0.6475,2959.47,18717.00,-4462.52,true,11932672,11932672,false,30613504
500,normal,500,25,25,0,50,0,0,0,5.6548,10,60,0.3304,0.2923,0.5231,0.2140,0.8050,3026.25,39374.00,-75851.29,true,60078306,60078306,false,31080448
500,high_load,500,25,41,2,66,2,2,0,6.7445,10,60,0.5525,0.5344,0.8269,0.4484,0.9170,1809.91,39374.00,-75851.29,true,60078306,60078306,false,31121408
1000,normal,1000,50,50,0,100,0,0,0,7.0053,10,60,0.4676,0.4006,0.7796,0.3053,1.3602,2138.79,74568.00,-154408.93,true,119261946,119261946,false,31842304
1000,high_load,1000,50,90,5,140,5,5,0,6.8115,10,60,1.1314,1.0705,1.4315,0.9451,1.8139,883.85,74568.00,-154408.93,true,119261946,119261946,false,31879168
2000,normal,2000,100,100,0,200,0,0,0,9.6514,10,60,0.7845,0.6965,1.2513,0.6388,2.1782,1274.76,164044.00,-294250.02,true,238573893,238573893,false,33910784
2000,high_load,2000,100,180,10,280,10,10,0,10.2616,10,60,2.6650,2.5502,3.6571,2.2820,4.4594,375.23,164044.00,-294250.02,true,238573893,238573893,false,34099200
