scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,165.0166,10,60,0.1330,0.1082,0.2342,0.0726,0.6813,7516.07,18717.00,-4462.52,true,11932672,11932672,false,31920128,31924224
100,high_load,100,8,16,1,24,1,1,0,64,4.5045,10,60,0.1409,0.1406,0.1888,0.0933,0.2220,7094.80,18717.00,-4462.52,true,11932672,11932672,false,32645120,32645120
500,normal,500,25,25,0,50,0,0,0,64,6.3932,10,60,0.1423,0.1366,0.2256,0.0930,0.3071,7026.25,39374.00,-75851.29,true,60078306,60078306,false,33312768,33312768
500,high_load,500,25,41,2,66,2,2,0,64,9.6741,10,60,0.6099,0.5613,0.9739,0.3660,1.4664,1639.51,39374.00,-75851.29,true,60078306,60078306,false,33533952,33533952
1000,normal,1000,50,50,0,100,0,0,0,64,7.3893,10,60,0.3176,0.2921,0.4584,0.1407,1.7618,3148.22,74568.00,-154408.93,true,119261946,119261946,false,34312192,34312192
1000,high_load,1000,50,90,5,140,5,5,0,64,5.8973,10,60,0.7556,0.6716,1.1953,0.5277,1.5163,1323.51,74568.00,-154408.93,true,119261946,119261946,false,34459648,34459648
2000,normal,2000,100,100,0,200,0,0,0,64,6.6222,10,60,0.2847,0.2332,0.5764,0.1797,1.0729,3512.30,164044.00,-294250.02,true,238573893,238573893,false,36331520,37330944
2000,high_load,2000,100,180,10,280,10,10,0,64,7.5808,10,60,1.1688,1.1136,1.4422,1.0000,1.9978,855.61,164044.00,-294250.02,true,238573893,238573893,false,36691968,37634048
