scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,9.0086,10,60,0.0763,0.0681,0.1128,0.0577,0.1812,13105.59,12563.00,-10556.82,true,11932672,11932672,false,30404608,30404608
100,high_load,100,8,16,1,24,1,1,0,64,4.0917,10,60,0.1158,0.1024,0.1688,0.0876,0.4053,8632.10,12563.00,-10556.82,true,11932672,11932672,false,30928896,30928896
500,normal,500,25,25,0,50,0,0,0,64,4.2165,10,60,0.1066,0.0925,0.1793,0.0758,0.2912,9379.25,30982.00,-84132.77,true,60078306,60078306,false,31531008,31531008
500,high_load,500,25,41,2,66,2,2,0,64,4.9169,10,60,0.2247,0.2001,0.3919,0.1831,0.5195,4450.51,30982.00,-84132.77,true,60078306,60078306,false,31678464,31678464
1000,normal,1000,50,50,0,100,0,0,0,64,5.0840,10,60,0.1442,0.1160,0.3069,0.0988,0.4960,6933.85,82207.00,-147054.93,true,119261946,119261946,false,32436224,32436224
1000,high_load,1000,50,90,5,140,5,5,0,64,4.5672,10,60,0.5063,0.4829,0.6566,0.4309,0.9988,1974.93,82207.00,-147054.93,true,119261946,119261946,false,32559104,32559104
2000,normal,2000,100,100,0,200,0,0,0,64,6.5641,10,60,0.2387,0.1864,0.4977,0.1647,1.1527,4190.03,157118.00,-300857.97,true,238573893,238573893,false,34476032,35520512
2000,high_load,2000,100,180,10,280,10,10,0,64,6.4637,10,60,1.0795,1.0261,1.4917,0.9472,1.8903,926.33,157118.00,-300857.97,true,238573893,238573893,false,34701312,35520512
