scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,8.4068,10,60,0.0800,0.0694,0.1222,0.0556,0.2120,12499.74,18717.00,-4462.52,true,11932672,11932672,false,29663232,29663232
100,high_load,100,8,16,1,24,1,1,0,64,5.8452,10,60,0.3018,0.3154,0.3706,0.1563,0.4401,3313.62,18717.00,-4462.52,true,11932672,11932672,false,30269440,30269440
500,normal,500,25,25,0,50,0,0,0,64,3.5736,10,60,0.1185,0.0885,0.2927,0.0757,0.5699,8440.84,39374.00,-75851.29,true,60078306,60078306,false,30736384,30736384
500,high_load,500,25,41,2,66,2,2,0,64,3.7931,10,60,0.2702,0.2506,0.4564,0.1896,0.4993,3701.56,39374.00,-75851.29,true,60078306,60078306,false,30810112,30810112
1000,normal,1000,50,50,0,100,0,0,0,64,4.2293,10,60,0.1404,0.1154,0.2407,0.0983,0.6975,7121.49,74568.00,-154408.93,true,119261946,119261946,false,31707136,31707136
1000,high_load,1000,50,90,5,140,5,5,0,64,5.0654,10,60,0.5167,0.4839,0.8229,0.4203,0.8833,1935.46,74568.00,-154408.93,true,119261946,119261946,false,31748096,31748096
2000,normal,2000,100,100,0,200,0,0,0,64,6.0283,10,60,0.2438,0.1923,0.4608,0.1662,1.1631,4101.75,164044.00,-294250.02,true,238573893,238573893,false,33669120,34648064
2000,high_load,2000,100,180,10,280,10,10,0,64,5.8862,10,60,1.1049,1.0644,1.4042,0.9637,1.9317,905.05,164044.00,-294250.02,true,238573893,238573893,false,33746944,34648064
