scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,29.3238,10,60,0.5067,0.3616,1.1657,0.2201,2.5150,1973.44,12563.00,-10556.82,true,11932672,11932672,false,30068736,30068736
100,high_load,100,8,16,1,24,1,1,0,64,15.4420,10,60,0.4709,0.3758,1.1095,0.2801,1.7599,2123.66,12563.00,-10556.82,true,11932672,11932672,false,30609408,30609408
500,normal,500,25,25,0,50,0,0,0,64,11.9301,10,60,0.5559,0.3987,1.2252,0.3052,2.4824,1798.81,30982.00,-84132.77,true,60078306,60078306,false,31043584,31043584
500,high_load,500,25,41,2,66,2,2,0,64,12.5459,10,60,0.7922,0.6316,2.0555,0.5057,2.2524,1262.35,30982.00,-84132.77,true,60078306,60078306,false,31248384,31248384
1000,normal,1000,50,50,0,100,0,0,0,64,12.3947,10,60,0.5945,0.4258,1.1467,0.3376,3.6675,1682.18,82207.00,-147054.93,true,119261946,119261946,false,31920128,31920128
1000,high_load,1000,50,90,5,140,5,5,0,64,13.5304,10,60,1.4905,1.2783,2.7535,1.0600,3.6888,670.93,82207.00,-147054.93,true,119261946,119261946,false,32104448,32104448
2000,normal,2000,100,100,0,200,0,0,0,64,16.3974,10,60,1.1926,0.7186,3.8560,0.5467,5.0658,838.53,157118.00,-300857.97,true,238573893,238573893,false,33935360,34959360
2000,high_load,2000,100,180,10,280,10,10,0,64,18.3257,10,60,3.4681,3.1566,5.5396,2.4081,6.7342,288.35,157118.00,-300857.97,true,238573893,238573893,false,34246656,34992128
