crisis_count,mix,overall_mean_ms,overall_median_ms,overall_min_ms,overall_max_ms,diplomacy_mean_ms,diplomacy_median_ms,total_days_in_phase,expected_days_in_phase
0,AllActive,0.22661,0.18470,0.16680,0.95160,0.02898,0.02810,0,0
1,AllActive,0.22887,0.18180,0.16820,1.01090,0.02956,0.02820,70,70
100,AllActive,0.22507,0.18020,0.16600,1.05080,0.02954,0.02790,7000,7000
1000,AllActive,0.23805,0.19570,0.16940,1.02020,0.03479,0.03300,70000,70000
1000,AllTerminal,0.23322,0.18930,0.16760,0.98830,0.03656,0.03180,0,0
