scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,19.0056,10,60,0.2316,0.2199,0.3179,0.1405,0.3906,4318.47,12563.00,-10556.82,true,11932672,11932672,false,30089216,30089216
100,high_load,100,8,16,1,24,1,1,0,64,6.8980,10,60,0.2841,0.2522,0.4040,0.2031,0.4889,3520.24,12563.00,-10556.82,true,11932672,11932672,false,30588928,30588928
500,normal,500,25,25,0,50,0,0,0,64,6.0895,10,60,0.2949,0.2729,0.5143,0.1768,0.6513,3390.42,30982.00,-84132.77,true,60078306,60078306,false,31064064,31064064
500,high_load,500,25,41,2,66,2,2,0,64,6.9176,10,60,0.5687,0.4898,0.8621,0.3833,1.6944,1758.31,30982.00,-84132.77,true,60078306,60078306,false,31354880,31354880
1000,normal,1000,50,50,0,100,0,0,0,64,8.8707,10,60,0.3494,0.2964,0.5682,0.2428,1.4034,2861.98,82207.00,-147054.93,true,119261946,119261946,false,32055296,32055296
1000,high_load,1000,50,90,5,140,5,5,0,64,11.6472,10,60,1.1710,1.0870,1.4906,0.9155,2.3848,853.97,82207.00,-147054.93,true,119261946,119261946,false,32088064,32088064
2000,normal,2000,100,100,0,200,0,0,0,64,23.9890,10,60,0.7224,0.5365,1.9691,0.4391,2.3222,1384.23,157118.00,-300857.97,true,238573893,238573893,false,34050048,35057664
2000,high_load,2000,100,180,10,280,10,10,0,64,16.6807,10,60,2.4642,2.3770,3.2685,2.0213,4.1587,405.82,157118.00,-300857.97,true,238573893,238573893,false,34295808,35127296
