scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00411,0.00350,0.00800,0.02540,4.30
100,normal,Economy,0.00554,0.00360,0.00840,0.06260,5.80
100,normal,Research,0.00357,0.00330,0.00620,0.01010,3.74
100,normal,Diplomacy,0.00270,0.00240,0.00400,0.02470,2.83
100,normal,CountryAi,0.01189,0.01160,0.01520,0.01700,12.45
100,normal,WarPreparation,0.00126,0.00100,0.00310,0.00520,1.32
100,normal,MilitaryAi,0.00286,0.00220,0.00560,0.00720,3.00
100,normal,FrontlineOrders,0.00315,0.00300,0.00510,0.00610,3.29
100,normal,MilitaryAction,0.00429,0.00410,0.00700,0.01380,4.50
100,normal,WarResolution,0.00314,0.00280,0.00500,0.00720,3.29
100,normal,UiUpdate,0.00252,0.00220,0.00420,0.01380,2.64
100,high_load,TimeUpdate,0.00322,0.00230,0.00470,0.02900,1.25
100,high_load,Economy,0.00519,0.00180,0.00810,0.08250,2.02
100,high_load,Research,0.00419,0.00450,0.00690,0.01080,1.63
100,high_load,Diplomacy,0.00258,0.00220,0.00530,0.00930,1.00
100,high_load,CountryAi,0.01891,0.01910,0.02350,0.02750,7.35
100,high_load,WarPreparation,0.01205,0.01090,0.02170,0.03490,4.69
100,high_load,MilitaryAi,0.01079,0.01190,0.01510,0.02650,4.20
100,high_load,FrontlineOrders,0.01762,0.01900,0.02320,0.03110,6.85
100,high_load,MilitaryAction,0.00416,0.00390,0.00730,0.00830,1.62
100,high_load,WarResolution,0.01342,0.01270,0.01990,0.02330,5.22
100,high_load,UiUpdate,0.00253,0.00130,0.00940,0.01310,0.99
500,normal,TimeUpdate,0.00295,0.00260,0.00470,0.01820,1.20
500,normal,Economy,0.01371,0.00260,0.00610,0.35270,5.59
500,normal,Research,0.00530,0.00510,0.00970,0.02520,2.16
500,normal,Diplomacy,0.00580,0.00510,0.01120,0.01650,2.37
500,normal,CountryAi,0.04173,0.03850,0.05410,0.06690,17.02
500,normal,WarPreparation,0.00176,0.00160,0.00250,0.00330,0.72
500,normal,MilitaryAi,0.00371,0.00320,0.00680,0.00970,1.52
500,normal,FrontlineOrders,0.00384,0.00330,0.00670,0.01800,1.57
500,normal,MilitaryAction,0.01144,0.01140,0.01670,0.03780,4.67
500,normal,WarResolution,0.00417,0.00330,0.00900,0.01890,1.70
500,normal,UiUpdate,0.00243,0.00180,0.00530,0.01170,0.99
500,high_load,TimeUpdate,0.00701,0.00300,0.01330,0.10680,1.37
