scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,26.4844,10,60,0.4033,0.3473,0.8645,0.2417,1.0795,2479.32,12563.00,-10556.82,true,11932672,11932672,false,30081024,30081024
100,high_load,100,8,16,1,24,1,1,0,64,11.8786,10,60,0.5215,0.4457,0.9428,0.2921,2.0272,1917.46,12563.00,-10556.82,true,11932672,11932672,false,30650368,30650368
500,normal,500,25,25,0,50,0,0,0,64,10.3615,10,60,0.4410,0.3920,0.7057,0.2650,1.0073,2267.32,30982.00,-84132.77,true,60078306,60078306,false,31014912,31014912
500,high_load,500,25,41,2,66,2,2,0,64,12.9890,10,60,0.7518,0.6468,1.3115,0.5393,1.6519,1330.15,30982.00,-84132.77,true,60078306,60078306,false,31240192,31240192
1000,normal,1000,50,50,0,100,0,0,0,64,11.4517,10,60,0.5176,0.4506,0.8748,0.3343,1.5345,1931.97,82207.00,-147054.93,true,119261946,119261946,false,31973376,31973376
1000,high_load,1000,50,90,5,140,5,5,0,64,12.2379,10,60,1.4846,1.3798,2.3628,1.1011,2.6507,673.58,82207.00,-147054.93,true,119261946,119261946,false,32083968,32083968
2000,normal,2000,100,100,0,200,0,0,0,64,16.8452,10,60,0.9188,0.6649,2.1715,0.4613,4.1820,1088.40,157118.00,-300857.97,true,238573893,238573893,false,33857536,34934784
2000,high_load,2000,100,180,10,280,10,10,0,64,15.5605,10,60,3.5008,3.3138,5.2267,2.4003,6.1539,285.65,157118.00,-300857.97,true,238573893,238573893,false,34115584,35024896
