scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,8.3491,10,60,0.0775,0.0708,0.1016,0.0610,0.1987,12907.39,18717.00,-4462.52,true,11932672,11932672,false,29655040,29655040
100,high_load,100,8,16,1,24,1,1,0,64,3.3895,10,60,0.1161,0.1130,0.1474,0.0918,0.2058,8616.11,18717.00,-4462.52,true,11932672,11932672,false,30208000,30208000
500,normal,500,25,25,0,50,0,0,0,64,3.4627,10,60,0.0983,0.0858,0.1458,0.0776,0.2921,10173.28,39374.00,-75851.29,true,60078306,60078306,false,30773248,30773248
500,high_load,500,25,41,2,66,2,2,0,64,4.0230,10,60,0.2443,0.2324,0.3674,0.1922,0.4957,4092.99,39374.00,-75851.29,true,60078306,60078306,false,30932992,30932992
1000,normal,1000,50,50,0,100,0,0,0,64,4.2032,10,60,0.1420,0.1251,0.2313,0.1037,0.5122,7043.49,74568.00,-154408.93,true,119261946,119261946,false,31612928,31612928
1000,high_load,1000,50,90,5,140,5,5,0,64,4.6130,10,60,0.7392,0.6473,1.1848,0.4610,2.8551,1352.74,74568.00,-154408.93,true,119261946,119261946,false,31899648,31899648
2000,normal,2000,100,100,0,200,0,0,0,64,5.4219,10,60,0.2542,0.2107,0.5005,0.1746,1.0373,3934.53,164044.00,-294250.02,true,238573893,238573893,false,35004416,35004416
2000,high_load,2000,100,180,10,280,10,10,0,64,5.8274,10,60,1.1311,1.0929,1.3134,1.0047,1.8339,884.11,164044.00,-294250.02,true,238573893,238573893,false,33972224,35004416
