scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,8.8441,10,60,0.0846,0.0763,0.1315,0.0615,0.2325,11814.05,18717.00,-4462.52,true,11932672,11932672,false,29855744,29855744
100,high_load,100,8,16,1,24,1,1,0,64,6.6906,10,60,0.3439,0.3292,0.4752,0.2415,0.6396,2907.88,18717.00,-4462.52,true,11932672,11932672,false,30547968,30547968
500,normal,500,25,25,0,50,0,0,0,64,9.2508,10,60,0.2691,0.2256,0.5049,0.1688,0.5917,3716.76,39374.00,-75851.29,true,60078306,60078306,false,31043584,31043584
500,high_load,500,25,41,2,66,2,2,0,64,7.9872,10,60,0.5709,0.5179,0.8309,0.4358,1.1015,1751.54,39374.00,-75851.29,true,60078306,60078306,false,31068160,31068160
1000,normal,1000,50,50,0,100,0,0,0,64,7.5434,10,60,0.3907,0.3200,0.6819,0.2502,1.2488,2559.66,74568.00,-154408.93,true,119261946,119261946,false,31772672,31772672
1000,high_load,1000,50,90,5,140,5,5,0,64,7.0548,10,60,1.0436,1.0042,1.1973,0.9180,1.7288,958.26,74568.00,-154408.93,true,119261946,119261946,false,31981568,31981568
2000,normal,2000,100,100,0,200,0,0,0,64,13.8461,10,60,0.5468,0.4179,1.4528,0.3808,2.6123,1828.73,164044.00,-294250.02,true,238573893,238573893,false,33824768,34967552
2000,high_load,2000,100,180,10,280,10,10,0,64,11.5812,10,60,2.3344,2.1779,2.9326,1.9746,4.7491,428.38,164044.00,-294250.02,true,238573893,238573893,false,35217408,35217408
