scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,136.8455,10,60,0.1939,0.1756,0.3202,0.0691,0.4127,5157.61,12563.00,-10556.82,true,11932672,11932672,false,30195712,30195712
100,high_load,100,8,16,1,24,1,1,0,64,5.2169,10,60,0.1231,0.1138,0.1857,0.0968,0.2966,8121.72,12563.00,-10556.82,true,11932672,11932672,false,30818304,30818304
500,normal,500,25,25,0,50,0,0,0,64,5.1844,10,60,0.1227,0.0935,0.2842,0.0805,0.3558,8149.18,30982.00,-84132.77,true,60078306,60078306,false,31412224,31412224
500,high_load,500,25,41,2,66,2,2,0,64,4.0364,10,60,0.2121,0.1973,0.3284,0.1785,0.3827,4714.42,30982.00,-84132.77,true,60078306,60078306,false,31596544,31596544
1000,normal,1000,50,50,0,100,0,0,0,64,5.0282,10,60,0.1761,0.1505,0.2665,0.1134,0.6431,5678.00,82207.00,-147054.93,true,119261946,119261946,false,32231424,32231424
1000,high_load,1000,50,90,5,140,5,5,0,64,5.3035,10,60,0.5577,0.5227,0.7048,0.4510,1.0913,1792.97,82207.00,-147054.93,true,119261946,119261946,false,32342016,32342016
2000,normal,2000,100,100,0,200,0,0,0,64,7.1736,10,60,0.2531,0.1920,0.4598,0.1690,0.9581,3950.57,157118.00,-300857.97,true,238573893,238573893,false,34316288,35303424
2000,high_load,2000,100,180,10,280,10,10,0,64,6.0021,10,60,1.1423,1.0766,1.4196,0.9788,2.0298,875.43,157118.00,-300857.97,true,238573893,238573893,false,35463168,35463168
