scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,29.9830,10,60,0.4317,0.3677,0.7469,0.2446,2.2076,2316.58,12563.00,-10556.82,true,11932672,11932672,false,30040064,30040064
100,high_load,100,8,16,1,24,1,1,0,64,13.7143,10,60,0.5709,0.4296,0.9513,0.2826,3.7814,1751.61,12563.00,-10556.82,true,11932672,11932672,false,30416896,30416896
500,normal,500,25,25,0,50,0,0,0,64,11.1402,10,60,0.4619,0.3782,0.8496,0.2822,1.7414,2165.16,30982.00,-84132.77,true,60078306,60078306,false,30969856,30969856
500,high_load,500,25,41,2,66,2,2,0,64,11.8015,10,60,0.7899,0.6590,1.2462,0.4808,3.1897,1265.99,30982.00,-84132.77,true,60078306,60078306,false,31170560,31170560
1000,normal,1000,50,50,0,100,0,0,0,64,11.6805,10,60,0.5770,0.4359,1.2219,0.3241,2.2534,1733.02,82207.00,-147054.93,true,119261946,119261946,false,31866880,31866880
1000,high_load,1000,50,90,5,140,5,5,0,64,14.4646,10,60,1.6706,1.4856,2.7987,1.1644,3.7308,598.60,82207.00,-147054.93,true,119261946,119261946,false,31887360,31887360
2000,normal,2000,100,100,0,200,0,0,0,64,16.0472,10,60,0.8393,0.6082,2.1636,0.5064,2.9000,1191.50,157118.00,-300857.97,true,238573893,238573893,false,33857536,34832384
2000,high_load,2000,100,180,10,280,10,10,0,64,16.4022,10,60,3.8482,3.6543,5.6692,2.4265,7.8945,259.86,157118.00,-300857.97,true,238573893,238573893,false,34013184,34889728
