scale,scenario,state_count,country_count,division_initial,war_initial,division_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,80.9787,10,60,0.0733,0.0651,0.1225,0.0588,0.2248,13637.60,12563.00,-10556.82,true,11932672,11932672,false,31088640,31088640
100,high_load,100,8,16,1,24,1,1,0,64,4.0255,10,60,0.1063,0.0972,0.1659,0.0865,0.2411,9410.29,12563.00,-10556.82,true,11932672,11932672,false,31526912,31526912
500,normal,500,25,25,0,50,0,0,0,64,5.1288,10,60,0.1370,0.1244,0.2046,0.0812,0.3819,7298.74,30982.00,-84132.77,true,60078306,60078306,false,32026624,32026624
500,high_load,500,25,41,2,66,2,2,0,64,4.1294,10,60,0.2320,0.2030,0.4071,0.1798,0.7081,4309.63,30982.00,-84132.77,true,60078306,60078306,false,32210944,32210944
1000,normal,1000,50,50,0,100,0,0,0,64,4.5628,10,60,0.1553,0.1211,0.2987,0.1071,0.6683,6440.88,82207.00,-147054.93,true,119261946,119261946,false,33091584,33091584
1000,high_load,1000,50,90,5,140,5,5,0,64,5.0096,10,60,0.5021,0.4683,0.8124,0.4146,0.8579,1991.81,82207.00,-147054.93,true,119261946,119261946,false,33083392,33091584
2000,normal,2000,100,100,0,200,0,0,0,64,6.8761,10,60,0.2423,0.1902,0.4843,0.1724,0.9980,4126.60,157118.00,-300857.97,true,238573893,238573893,false,35020800,36012032
2000,high_load,2000,100,180,10,280,10,10,0,64,6.3981,10,60,1.0555,1.0009,1.3275,0.9214,1.9306,947.40,157118.00,-300857.97,true,238573893,238573893,false,35188736,36012032
