scale,scenario,state_count,country_count,army_initial,war_initial,army_final,war_active_final,frontline_final,battle_final,ecs_entity_count,init_ms,warmup_days,measured_days,mean_ms,median_ms,p95_ms,min_ms,max_ms,ticks_per_sec,treasury_before,treasury_after,treasury_changed,population_before,population_after,population_changed,memory_bytes,peak_memory_bytes
100,normal,100,8,8,0,16,0,0,0,64,79.8424,10,60,0.1034,0.0990,0.1703,0.0638,0.2419,9671.02,18717.00,-4462.52,true,11932672,11932672,false,30720000,30720000
100,high_load,100,8,16,1,24,1,1,0,64,3.4782,10,60,0.1017,0.0966,0.1264,0.0846,0.2378,9829.78,18717.00,-4462.52,true,11932672,11932672,false,31199232,31199232
500,normal,500,25,25,0,50,0,0,0,64,4.3897,10,60,0.0940,0.0810,0.1481,0.0698,0.3906,10633.21,39374.00,-75851.29,true,60078306,60078306,false,31707136,31707136
500,high_load,500,25,41,2,66,2,2,0,64,4.6219,10,60,0.2240,0.2016,0.3277,0.1793,0.4799,4463.49,39374.00,-75851.29,true,60078306,60078306,false,31752192,31752192
1000,normal,1000,50,50,0,100,0,0,0,64,4.2452,10,60,0.1283,0.1020,0.3465,0.0921,0.4830,7797.17,74568.00,-154408.93,true,119261946,119261946,false,32673792,32673792
1000,high_load,1000,50,90,5,140,5,5,0,64,4.2990,10,60,0.4772,0.4484,0.6297,0.4155,0.7875,2095.55,74568.00,-154408.93,true,119261946,119261946,false,32653312,32673792
2000,normal,2000,100,100,0,200,0,0,0,64,5.6992,10,60,0.2214,0.1708,0.4652,0.1591,1.0991,4516.13,164044.00,-294250.02,true,238573893,238573893,false,34656256,35655680
2000,high_load,2000,100,180,10,280,10,10,0,64,5.5021,10,60,1.1244,1.0350,1.5575,0.9405,1.8409,889.35,164044.00,-294250.02,true,238573893,238573893,false,34729984,35741696
